grid_lon,grid_lat,n_recs,lat,lon
1,23,1,-67,1
1,58,1,-32,1
1,90,12,0,1
1,96,4,6,1
1,104,1,14,1
1,127,1,37,1
1,128,24,38,1
1,129,116,39,1
1,130,81,40,1
1,131,227,41,1
1,132,418,42,1
1,133,1,43,1
1,139,219,49,1
1,140,4767,50,1
1,141,11373,51,1
1,142,3478,52,1
1,143,3706,53,1
1,144,7336,54,1
1,145,4967,55,1
1,146,2470,56,1
1,147,3311,57,1
1,148,2811,58,1
1,149,3341,59,1
1,150,4105,60,1
1,151,4039,61,1
1,152,1675,62,1
1,153,56,63,1
1,154,24,64,1
1,155,1,65,1
1,164,23,74,1
1,165,2,75,1
1,167,12,77,1
1,168,9,78,1
1,169,12,79,1
2,96,1,6,2
2,128,8,38,2
2,129,1089,39,2
2,130,311,40,2
2,131,69,41,2
2,132,109,42,2
2,135,4,45,2
2,139,3,49,2
2,140,31,50,2
2,141,15085,51,2
2,142,7732,52,2
2,143,2670,53,2
2,144,2529,54,2
2,145,1297,55,2
2,146,1313,56,2
2,147,1171,57,2
2,148,1070,58,2
2,149,907,59,2
2,150,991,60,2
2,151,577,61,2
2,152,49,62,2
2,153,8,63,2
2,154,25,64,2
2,155,2,65,2
2,156,1,66,2
2,165,13,75,2
2,166,7,76,2
2,168,3,78,2
3,35,3,-55,3
3,36,20,-54,3
3,128,3,38,3
3,129,352,39,3
3,130,962,40,3
3,132,256,42,3
3,133,193,43,3
3,134,5,44,3
3,141,6571,51,3
3,142,10463,52,3
3,143,1911,53,3
3,144,1914,54,3
3,145,1180,55,3
3,146,1102,56,3
3,147,1012,57,3
3,148,1086,58,3
3,149,900,59,3
3,150,754,60,3
3,151,308,61,3
3,152,38,62,3
3,153,15,63,3
3,157,2,67,3
3,158,2,68,3
3,160,5,70,3
3,161,20,71,3
3,162,1,72,3
3,163,3,73,3
3,165,9,75,3
4,129,34,39,4
4,130,74,40,4
4,132,3,42,4
4,133,69,43,4
4,134,1,44,4
4,140,3,50,4
4,141,3017,51,4
4,142,6263,52,4
4,143,4303,53,4
4,144,2143,54,4
4,145,1718,55,4
4,146,1277,56,4
4,147,1084,57,4
4,148,909,58,4
4,149,231,59,4
4,150,258,60,4
4,151,119,61,4
4,152,254,62,4
4,153,104,63,4
4,154,1,64,4
4,155,1,65,4
4,156,2,66,4
4,157,1,67,4
4,158,1,68,4
4,159,2,69,4
4,160,1,70,4
4,161,19,71,4
4,163,8,73,4
4,165,26,75,4
4,166,8,76,4
4,167,7,77,4
5,9,1,-81,5
5,89,4,-1,5
5,126,1,36,5
5,130,11,40,5
5,131,4,41,5
5,132,6,42,5
5,133,49,43,5
5,142,8,52,5
5,143,207,53,5
5,144,2434,54,5
5,145,2047,55,5
5,146,1396,56,5
5,147,1240,57,5
5,148,416,58,5
5,149,381,59,5
5,150,149,60,5
5,151,2,61,5
5,152,178,62,5
5,153,580,63,5
5,154,42,64,5
5,155,2,65,5
5,156,3,66,5
5,157,1,67,5
5,158,2,68,5
5,159,4,69,5
5,160,1,70,5
5,161,1,71,5
5,165,12,75,5
5,166,3,76,5
5,167,9,77,5
6,9,1,-81,6
6,64,2,-26,6
6,130,1,40,6
6,131,3,41,6
6,132,5,42,6
6,133,39,43,6
6,134,1,44,6
6,135,1,45,6
6,143,97,53,6
6,144,2251,54,6
6,145,2174,55,6
6,146,1678,56,6
6,147,1365,57,6
6,148,269,58,6
6,150,261,60,6
6,152,13,62,6
6,153,550,63,6
6,154,151,64,6
6,155,4,65,6
6,156,2,66,6
6,157,3,67,6
6,158,3,68,6
6,159,5,69,6
6,160,4,70,6
6,161,6,71,6
6,164,4,74,6
6,165,7,75,6
6,166,1,76,6
6,167,6,77,6
6,169,2,79,6
7,95,2,5,7
7,131,4,41,7
7,132,3,42,7
7,133,9,43,7
7,134,36,44,7
7,140,2,50,7
7,143,20,53,7
7,144,2459,54,7
7,145,2409,55,7
7,146,1787,56,7
7,147,1322,57,7
7,148,355,58,7
7,153,207,63,7
7,154,291,64,7
7,155,49,65,7
7,156,5,66,7
7,157,4,67,7
7,158,3,68,7
7,159,6,69,7
7,160,7,70,7
7,161,3,71,7
7,165,7,75,7
7,166,21,76,7
7,167,1,77,7
7,168,4,78,7
7,169,7,79,7
8,58,1,-32,8
8,127,13,37,8
8,129,4,39,8
8,130,5,40,8
8,131,37,41,8
8,132,58,42,8
8,133,40,43,8
8,134,55,44,8
8,144,1004,54,8
8,145,6366,55,8
8,146,3213,56,8
8,147,1646,57,8
8,148,1207,58,8
8,149,4,59,8
8,153,52,63,8
8,154,220,64,8
8,155,167,65,8
8,156,10,66,8
8,157,11,67,8
8,158,8,68,8
8,159,6,69,8
8,160,18,70,8
8,166,6,76,8
8,168,2,78,8
8,169,14,79,8
9,87,1,-3,9
9,88,2,-2,9
9,127,26,37,9
9,128,16,38,9
9,129,4,39,9
9,130,1,40,9
9,131,194,41,9
9,132,63,42,9
9,133,96,43,9
9,134,116,44,9
9,144,44,54,9
9,145,1860,55,9
9,146,1208,56,9
9,147,1879,57,9
9,148,1293,58,9
9,149,120,59,9
9,153,36,63,9
9,154,83,64,9
9,155,233,65,9
9,156,44,66,9
9,157,9,67,9
9,158,13,68,9
9,159,7,69,9
9,160,24,70,9
9,161,6,71,9
9,167,12,77,9
10,124,59,34,10
10,126,63,36,10
10,127,147,37,10
10,128,8,38,10
10,132,13,42,10
10,133,59,43,10
10,134,262,44,10
10,143,1,53,10
10,144,440,54,10
10,145,3316,55,10
10,146,3897,56,10
10,147,1948,57,10
10,148,1930,58,10
10,149,805,59,10
10,150,189,60,10
10,153,29,63,10
10,154,21,64,10
10,155,301,65,10
10,156,158,66,10
10,157,40,67,10
10,158,52,68,10
10,159,12,69,10
10,160,22,70,10
10,161,2,71,10
10,162,7,72,10
10,163,2,73,10
10,164,3,74,10
10,165,1,75,10
10,166,5,76,10
10,167,6,77,10
11,72,2,-18,11
11,73,196,-17,11
11,74,55,-16,11
11,75,2,-15,11
11,83,5,-7,11
11,84,10,-6,11
11,85,6,-5,11
11,124,111,34,11
11,125,35,35,11
11,126,48,36,11
11,127,34,37,11
11,128,1,38,11
11,132,25,42,11
11,133,6,43,11
11,144,2830,54,11
11,145,2802,55,11
11,146,2172,56,11
11,147,2963,57,11
11,148,2902,58,11
11,149,4291,59,11
11,155,3,65,11
11,156,174,66,11
11,157,105,67,11
11,158,129,68,11
11,159,19,69,11
11,160,8,70,11
11,161,6,71,11
11,162,10,72,11
11,163,7,73,11
11,164,1,74,11
11,166,4,76,11
11,167,3,77,11
12,70,1,-20,12
12,71,9,-19,12
12,72,1,-18,12
12,74,1,-16,12
12,75,6,-15,12
12,76,11,-14,12
12,77,1,-13,12
12,80,2,-10,12
12,81,8,-9,12
12,82,18,-8,12
12,83,64,-7,12
12,84,13,-6,12
12,85,1,-5,12
12,124,25,34,12
12,125,34,35,12
12,126,4,36,12
12,127,4,37,12
12,128,8,38,12
12,132,1,42,12
12,134,21,44,12
12,135,101,45,12
12,136,3,46,12
12,144,530,54,12
12,145,2120,55,12
12,146,6667,56,12
12,147,10121,57,12
12,156,29,66,12
12,157,143,67,12
12,158,140,68,12
12,159,50,69,12
12,160,15,70,12
12,161,9,71,12
12,162,14,72,12
12,163,12,73,12
12,164,2,74,12
12,165,6,75,12
12,167,30,77,12
13,68,1,-22,13
