Species,Family,n_studies,mean_CT_max,min_CT_max,max_CT_max,wt_mean_CT_max,CT_max,aphiaID,valid_AphiaID,DemersPelag,DepthRangeShallow,DepthRangeDeep,class,order,records,n_obis_rec,iap_t_NA,iap_sst_NA,iap_sbt_NA,bo_sst_NA,bo_sbt_NA,iap_t_mean,iap_sst_mean,iap_sbt_mean,bo_sst_mean,bo_sbt_mean,iap_t_min,iap_sst_min,iap_sbt_min,bo_sst_min,bo_sbt_min,iap_t_max,iap_sst_max,iap_sbt_max,bo_sst_max,bo_sbt_max,iap_t_median,iap_sst_median,iap_sbt_median,bo_sst_median,bo_sbt_median,iap_t_sd,iap_sst_sd,iap_sbt_sd,bo_sst_sd,bo_sbt_sd,iap_t_mad,iap_sst_mad,iap_sbt_mad,bo_sst_mad,bo_sbt_mad,iap_t_q5,iap_sst_q5,iap_sbt_q5,bo_sst_q5,bo_sbt_q5,iap_t_q95,iap_sst_q95,iap_sbt_q95,bo_sst_q95,bo_sbt_q95,bo_t_opt,bo_t_opt_sd,bo_t_opt95,habitat
Abudefduf saxatilis,Pomacentridae,5,39.28,34.3,41.6,40.23273542600897,40.23273542600897,159288,159288,reef-associated,0,20,Actinopterygii,Perciformes,17976,17855,469,421,421,30,30,28.66781671705721,28.77297084528713,18.224528739700435,26.791158559459458,26.185796670428832,5.155983924865723,16.843603134155273,1.6274340152740479,11.755000114440918,0.4333820044994354,31.59161376953125,31.59161376953125,31.527761459350586,31.066999435424805,29.33329963684082,29.11959457397461,29.247114181518555,18.637407302856445,26.808000564575195,26.731000900268555,1.4385494024395225,1.4126041478811933,7.831772234869817,0.5712598649306034,2.4418552618238625,1.1703165161132811,1.05264464263916,8.545064390945434,0.11119330329895019,0.35048470802307125,25.904276371002197,25.986299514770508,4.166341304779053,26.326000213623047,24.987099456787114,30.17659568786621,30.360517501831055,27.860397338867188,27.288999557495117,27.037200927734375,26.791158559459458,0.5712598649306034,27.288999557495117,reef-associated
Abudefduf sordidus,Pomacentridae,1,40.6,40.6,40.6,40.6,40.6,212888,212888,reef-associated,0,3,Actinopterygii,Perciformes,724,724,434,433,433,58,58,26.179343282765355,26.204489140985757,5.831350152844825,26.22854200139776,19.668481775411255,16.690776824951172,16.690776824951172,1.9431841373443604,17.7189998626709,0.7292029857635498,30.0947322845459,30.0947322845459,29.24214744567871,30.42799949645996,29.74329948425293,26.4788818359375,26.4788818359375,2.547731399536133,26.79199981689453,23.765100479125977,2.4914016308262803,2.4939831351909563,7.222896698532935,2.432906666204845,8.851457830754066,2.034507159233093,2.061025182723999,0.6617049259185791,2.5871382442474364,4.856106865882873,20.663712978363037,20.71282386779785,2.0904884338378906,22.422000885009766,1.8562400341033936,29.074554824829104,29.09722328186035,25.67267417907715,29.649999618530273,28.79050064086914,26.22854200139776,2.432906666204845,29.649999618530273,reef-associated
Abudefduf troschelii,Pomacentridae,1,38.67,38.67,38.67,38.67,38.67,273702,273702,reef-associated,1,12,Actinopterygii,Perciformes,699,699,626,626,626,75,75,27.301687919930234,27.272715085173306,11.959325277642028,26.076370294277485,18.237497248328648,18.4830265045166,18.808910369873047,2.048452377319336,19.503999710083008,1.4064699411392212,29.844045639038086,29.929845809936523,28.688446044921875,30.141000747680664,28.721399307250977,27.97620964050293,28.00843048095703,13.708834648132324,25.663000106811523,18.170499801635742,2.2009976566017753,2.203400841800548,6.875153383096937,2.3195840048871155,7.3181958053337475,1.168461456298828,1.6105453983306883,4.079156348991394,3.09715244064331,8.409455559539795,23.917320251464844,23.917320251464844,2.2620404243469237,22.847000122070312,4.453620386123658,29.47822799682617,29.810251235961914,26.594607925415026,29.348950386047363,28.107899951934815,26.076370294277485,2.3195840048871155,29.348950386047363,reef-associated
Acanthemblemaria hancocki,Chaenopsidae,2,36.150000000000006,35.7,36.6,36.42,36.42,279452,279452,reef-associated,1,5,Actinopterygii,Perciformes,119,119,87,86,86,9,9,27.695150911808014,27.885994882294625,9.073232094446817,28.37570897882635,22.986842758005317,22.589025497436523,22.589025497436523,2.0819809436798096,24.14699935913086,1.8935999870300293,29.560611724853516,29.929845809936523,27.675954818725586,30.416000366210938,28.71739959716797,27.93943691253662,28.302093505859375,11.692626953125,28.699999809265137,23.37700080871582,1.4106575220229143,1.3756108947120589,6.364727198932893,1.2035229191646064,5.003504983756392,1.4554796476364136,1.2110090629577637,3.9724013328552243,0.6864442411422729,6.489263633537292,25.89094982147217,26.18302764892578,2.148399496078491,24.841999053955078,14.903595113754275,29.169979095458984,29.118907928466797,14.315231704711914,29.4576003074646,28.417200088500977,28.37570897882635,1.2035229191646064,29.4576003074646,reef-associated
Acanthoclinus littoreus,Plesiopidae,5,32.856,32.34,33.4,NA,32.856,279471,279471,demersal,NA,NA,Actinopterygii,Perciformes,51,41,31,31,31,6,6,13.891496086120606,13.891496086120606,13.934103965759277,13.508371571132114,8.61154580286571,10.880845069885254,10.880845069885254,10.951476097106934,7.889999866485596,0.7076629996299744,16.661218643188477,16.661218643188477,16.81909942626953,22.09600067138672,18.042999267578125,12.850971221923828,12.850971221923828,13.051014423370361,12.107999801635742,7.162469863891602,2.472133041253683,2.472133041253683,2.5814692479382346,3.829645543593934,6.098813789144705,2.258305562496185,2.258305562496185,2.8739316226959226,4.07715,7.979842193484306,11.283072996139527,11.283072996139527,11.09646430015564,8.917599821090699,1.7801400423049927,16.661218643188477,16.661218643188477,16.81909942626953,22.09600067138672,17.89151916503906,8.61154580286571,6.098813789144705,17.89151916503906,demersal
Acanthopagrus latus,Sparidae,6,37.233333333333334,35.9,38.6,NA,37.233333333333334,218587,218587,demersal,NA,NA,Actinopterygii,Perciformes,81,81,61,61,61,14,14,25.465599250793456,25.482921504974364,14.861384689807892,25.86562686180001,23.405691054329942,17.985010147094727,17.985010147094727,2.3594820499420166,19.055999755859375,1.7496600151062012,28.930927276611328,28.930927276611328,27.058277130126953,28.642000198364258,28.078100204467773,26.063239097595215,26.063239097595215,21.208820343017578,25.5049991607666,24.567800521850586,3.0783391314556945,3.0643792623376283,10.520956591665385,1.6679731169314282,5.383980094815982,2.4038096958160398,2.4038096958160398,8.344473323249817,1.7657765773773193,1.861255601119995,20.21366548538208,20.21366548538208,2.3594820499420166,22.8423002243042,9.059980392456055,28.909660053253177,28.909660053253177,26.638022518157957,28.34229984283447,27.943099975585938,23.405691054329942,5.383980094815982,27.943099975585938,demersal
Achirus mazatlanus,Achiridae,3,42.43333333333333,42.2,42.8,42.30651955867604,42.30651955867604,279494,279494,demersal,10,60,Actinopterygii,Pleuronectiformes,343,343,280,280,280,92,92,24.973934748816113,26.575146357218426,8.407520343386938,26.40505968527015,21.515142569503936,11.239640235900879,17.030223846435547,2.141700506210327,18.066999435424805,1.1053099632263184,29.258771896362305,29.345746994018555,26.905288696289062,31.052000045776367,29.14590072631836,26.52716636657715,27.263641357421875,10.605818748474121,26.33799934387207,23.37700080871582,4.145600312820738,2.469323407379766,5.3065318615959,2.7644157384765036,7.259329091399041,2.169158768463135,1.1998787040710448,6.612424334907532,3.771735327529907,5.540325600814819,15.548059177398681,20.773247337341306,2.217293405532837,21.957999229431152,2.7849799394607544,28.737693214416502,29.067868041992188,15.065837860107422,30.106999397277832,28.428500175476074,21.515142569503936,7.259329091399041,28.428500175476074,demersal
Albula vulpes,Albulidae,2,37.15,36.4,37.9,37.15,37.15,212256,212256,reef-associated,0,84,Actinopterygii,Albuliformes,974,954,871,863,863,35,35,25.95336599235075,27.333215336223226,11.024871714822538,27.214720409505386,22.98307118413238,16.906837463378906,22.07423210144043,1.967821717262268,11.437999725341797,1.1798800230026245,29.844045639038086,30.619617462158203,28.06287956237793,30.077999114990234,29.328399658203125,27.19784164428711,27.538066864013672,6.315213680267334,27.604000091552734,25.441099166870117,3.0634589645190142,1.872684726672571,8.706965602536165,1.5567808174994653,6.628422429730729,2.0478361598968506,1.5434182491302488,4.1422273222446435,0.9147650596618652,3.6219929763793943,19.36586208343506,23.608028411865234,2.5971308946609497,24.325000762939453,5.088769912719727,29.15520439147949,29.939144134521484,26.415287971496582,28.743000030517578,28.635099411010742,27.214720409505386,1.5567808174994653,28.743000030517578,reef-associated
Ambassis kopsii,Ambassidae,3,37.233333333333334,34.5,39,NA,37.233333333333334,277735,277735,demersal,NA,NA,Actinopterygii,Perciformes,24,25,18,18,18,8,8,29.14145306178502,29.14145306178502,21.870189802987234,29.114176806281595,19.002936601638794,28.69161605834961,28.69161605834961,2.452847480773926,26.479000091552734,2.1450600624084473,29.40236473083496,29.40236473083496,28.149627685546875,31.134000778198242,29.25670051574707,29.2935791015625,29.2935791015625,27.094135284423828,29.3700008392334,27.52869987487793,0.3206958933471039,0.3206958933471039,9.650428071387921,1.1525042939131493,11.24924257066234,0.1612855739593506,0.1612855739593506,1.5648730339050292,0.5782130950927734,2.561933750152588,28.69161605834961,28.69161605834961,6.367033863067627,26.479000091552734,2.148836040496826,29.40236473083496,29.40236473083496,28.149627685546875,30.157999801635743,28.823100662231447,19.002936601638794,11.24924257066234,28.823100662231447,demersal
Amblygobius phalaena,Gobiidae,1,41.6,41.6,41.6,41.6,41.6,278655,278655,reef-associated,NA,52,Actinopterygii,Perciformes,760,783,327,326,326,20,20,26.745001035824156,26.754702328070508,12.975707589927858,27.115010292783165,21.078319712672602,19.367637634277344,19.367637634277344,2.088500738143921,20.246999740600586,0.876230001449585,31.59161376953125,31.59161376953125,31.274761199951172,30.944000244140625,29.606000900268555,27.013059616088867,27.018545150756836,5.292841911315918,27.091999053955078,24.870500564575195,2.53612772907238,2.5367947984961488,11.256263485710932,2.0516858515956575,9.002674200600454,2.7032661197662353,2.6951332660675047,4.727748957109451,2.2491016662597656,3.1751356487274167,22.301013946533203,22.301013946533203,2.159615087509155,22.954200744628906,1.6780400276184082,31.59161376953125,31.59161376953125,31.274761199951172,29.925699996948243,29.08021945953369,27.115010292783165,2.0516858515956575,29.925699996948243,reef-associated
